,model,AIC,BIC,LL,LjungBox_p10,LB_p10_on_val,ARCH_LM_p10,JB_pvalue,n_params
4,"ARMA(0,3) + trading_days_in_month",-7968.1467105049,-7933.050767596656,3990.07335525245,0.03482015626419834,2.07960670468084e-05,1.0110420793589135e-47,0.0,6
0,"ARMA(0,3) on dy",-7961.197660075801,-7931.9510409855975,3985.5988300379004,0.039832522949274564,1.208705429742906e-05,3.4616505346782624e-47,0.0,5
1,"ARMA(0,3) + weekday",-7962.662617942234,-7910.018703579869,3990.331308971117,0.028197373990457558,5.446212549688338e-06,6.999398966184274e-47,0.0,9
3,"ARMA(0,3) + festivals",-7957.760689103898,-7905.116774741533,3987.880344551949,0.04611992089751207,1.5175230656965578e-05,3.727126688859845e-47,0.0,9
2,"ARMA(0,3) + events",-7973.634772886693,-7897.593563252166,3999.8173864433465,0.03377976518483884,8.513002853713742e-06,1.1571692059783736e-57,0.0,13
5,"ARMA(0,3) + weekday + events + festivals + tdm",-7981.349723101349,-7852.664599104457,4012.6748615506744,0.019855839190981574,7.786287549485833e-06,4.19664847789394e-57,0.0,22
