interval,nominal,empirical_coverage_ARIMA,empirical_coverage_GARCH_cond,avg_width_ARIMA_bps,avg_width_GARCH_cond_bps,binom_pvalue_GARCH_cond,reject_nominal_GARCH@5%
80%,0.8,0.9339181286549708,0.8707602339181286,12.49019246339512,9.408497034821199,1.630516423700098e-14,True
95%,0.95,0.9766081871345029,0.9467836257309942,19.10210095824356,14.389054512266291,0.5413696461048787,False
