horizon_days,RW_RMSE,ARIMA_RMSE,RW_MAE,ARIMA_MAE,ARIMA_minus_RW_RMSE_bps,DM_stat,DM_pvalue,n_forecasts
1,0.03532840084737419,0.03542714774943615,0.022688888888888897,0.02293987295660492,0.009874690206196357,0.6040255046273441,0.5458266856443648,1710
5,0.0737375776888773,0.07364588716364112,0.051456623681125455,0.05128304839244732,-0.009169052523617938,-0.31697466748514364,0.7512628242817125,1706
22,0.14254341314125515,0.14253254197542112,0.10687092954410896,0.10687845089612244,-0.0010871165834036578,-0.056800052002276544,0.9547044725148004,1689
66,0.25820322690272235,0.25818575727570986,0.20604316109422494,0.2059803271172988,-0.0017469627012489664,-0.07237338644856026,0.942304763778189,1645
