,RMSE_bps,MAE_bps,MAPE_%,AvgError_bps
Average,60.303319543910405,53.17267536765999,7.9460991598100845,-53.17267536765999
Naive (RW),2.6697788856468287,1.8666666666666676,0.27263176415595775,-0.02736842105263158
Seasonal naive s=5,5.281232356626472,3.940584795321639,0.5750396497672756,-0.1293567251461988
Drift,2.6700441488063906,1.8679429113970973,0.27281893655103456,-0.009240317082333777
