,RMSE,MAE,MAPE_%,RMSE_bps,MAE_bps
ARIMA,0.026549704986805624,0.01883998288422725,0.2751493508663934,2.6549704986805622,1.8839982884227249
AR(1),0.02677979977279193,0.018846801457993986,0.27523867235454186,2.6779799772791932,1.8846801457993987
RW,0.026697788856468285,0.018666666666666675,0.27263176415595775,2.6697788856468287,1.8666666666666676
