,series,test,stat,pvalue,null,reject@5%
0,first difference,Weekday ANOVA (Delta y),9.570241993890889,1.0588359354180917e-07,mean Delta y equal across weekdays,True
1,first difference,Month-of-year ANOVA (Delta y),1.2936950233250035,0.22095542195060205,mean Delta y equal across months,False
